"","Gene.ID","logFC","P.Value"
"Os.53868.1.S1_at","4344073",4.39588465717347,2.10802545306809e-08
"Os.30670.1.S1_at","9266984",2.13352500097192,2.11636610121788e-08
"Os.11897.1.S1_at","4334643",-2.72824225260113,2.14089550295628e-08
"Os.15917.1.S1_at","4336283",1.66347470395603,2.21653780414914e-08
"Os.11883.1.S1_at","4339191",-0.758768693831096,2.3769986914953e-08
"Os.36460.1.S1_at","4342815",-1.15429672237574,2.43897147811719e-08
"Os.15257.1.S1_at","4346205",-3.60277125836727,2.57704083739116e-08
"Os.53843.1.S1_at","4351993",-2.38640483412754,2.63315997126265e-08
"Os.27362.1.S2_at","4344829",-5.01277958697987,2.64421237232718e-08
"Os.33774.1.S1_at","4340396",8.47143952049634,2.69403172146788e-08
"Os.31486.1.S1_at","4342277",-2.9410039401855,2.94896161784403e-08
"Os.28030.1.S1_s_at","4341940",-1.18840787491914,2.95684904403188e-08
"Os.55393.2.S1_at","4343277",-3.94828253737999,3.03444875106803e-08
"Os.10510.1.S1_at","4331443",1.36975977134259,3.05600177086805e-08
"OsAffx.4161.1.S1_at","4337027",-8.87383192145651,3.10240588182778e-08
"Os.11260.1.S1_at","4338635",-2.45066867138697,3.21870146802031e-08
"Os.57289.1.S1_at","4352168",-2.88474557156199,3.24517565830679e-08
"Os.6669.1.S1_at","4343814",-1.53109359571978,3.24550806233043e-08
"Os.6792.1.S1_at","4349245",6.84021396081727,3.54265563420032e-08
"Os.9117.1.S1_at","4331306",-5.89049719643689,3.62282576953186e-08
"Os.52356.1.S1_at","4350563",3.99113082263202,3.98099135005736e-08
"Os.16903.1.A1_at","4337890",2.39111617243136,4.04330629890827e-08
"Os.12633.1.S1_at","4350454",-3.79519435389355,4.11936755993398e-08
"Os.37603.1.S1_at","4324822",-1.25331460854112,4.36901575931882e-08
"Os.15516.1.S1_at","4335593",4.14914932228887,4.46840396138986e-08
"Os.57437.1.S1_x_at","4330830",-5.80495855304549,4.71642685649013e-08
"Os.18016.1.S1_at","4342229",-2.092320781082,4.87037140507268e-08
"Os.11253.1.S1_at","4324804",1.64777139083601,4.87065189090103e-08
"Os.25167.1.S1_a_at","4348552",-1.22913296385408,4.87605098109613e-08
"Os.52993.1.S1_at","4344503",-2.24420085113992,4.87650269047295e-08
"Os.47809.1.S1_s_at","9267680",1.93317572544406,5.16547078099735e-08
"Os.27290.1.A1_at","4342088",-1.49497288064514,5.28798082582941e-08
"Os.28994.1.S1_at","4325034",-2.2351142049295,5.33474100889471e-08
"Os.18981.1.S1_at","4342930",-1.54586247274481,5.3785204561555e-08
"Os.50496.1.S1_at","4337031",-3.54396853850374,5.39227358412882e-08
"Os.17506.1.S1_at","4348829",-1.63062484280212,5.60280255989768e-08
"Os.8016.1.S1_a_at","4340126",-3.8560911860095,5.70166634665021e-08
